time,open,high,low,close,EMA,Smoothing Line,,
16/07/2018,6354.15,6747.3,6330.4,6723.35,7811.834161070951,7811.834161070951,,
17/07/2018,6723.33,7468.99,6652.04,7317.44,7806.914816184673,7806.914816184673,,
18/07/2018,7317.44,7588.08,7225.38,7381.9,7802.685813038557,7802.685813038557,,
19/07/2018,7381.88,7576.28,7270,7466.21,7799.337794998372,7799.337794998372,,
20/07/2018,7468.86,7700,7273,7337.53,7794.742692560578,7794.742692560578,,
21/07/2018,7337.47,7458.47,7211,7398.78,7790.802765271418,7790.802765271418,,
22/07/2018,7399.25,7582.4,7335.5,7394.79,7786.86234,7786.86234,,
23/07/2018,7394.78,7833,7375,7721.01,7786.207092584675,7786.207092584675,,
24/07/2018,7721.65,8486,7696,8397.24,7792.287022011693,7792.287022011693,,
25/07/2018,8397.24,8491.77,8050,8175.64,7796.101479504114,7796.101479504114,,
26/07/2018,8175.63,8315.69,7850.06,7920,7797.334300603576,7797.334300603576,,
27/07/2018,7920,8285,7805,8188.57,7801.227193134883,7801.227193134883,,
28/07/2018,8188.57,8246.54,8067,8225.04,7805.444235989263,7805.444235989263,,
29/07/2018,8225.04,8294.51,8115,8211,7809.479616725688,7809.479616725688,,
30/07/2018,8210.99,8273,7866,8173.92,7813.105889196079,7813.105889196079,,
31/07/2018,8171.4,8180,7633,7730.93,7812.288218656815,7812.288218656815,,
01/08/2018,7735.67,7750,7430,7604.58,7810.221470212468,7810.221470212468,,
02/08/2018,7600.08,7709.46,7455.72,7525.71,7807.390510309857,7807.390510309857,,
03/08/2018,7525.71,7540,7282.44,7418.78,7803.523739062993,7803.523739062993,,
04/08/2018,7412.27,7494.81,6926,7009.84,7795.626388,7795.626388,,
05/08/2018,7009.84,7089.87,6882.29,7024.19,7787.950404461117,7787.950404461117,,
06/08/2018,7024.19,7160,6821,6934.82,7779.461544715235,7779.461544715235,,
07/08/2018,6935,7150.46,6670,6720.06,7768.920235812596,7768.920235812596,,
08/08/2018,6720.63,6721.54,6123,6285,7754.154860331873,7754.154860331873,,
09/08/2018,6283.27,6622.81,6178.6,6529.79,7741.972125403198,7741.972125403198,,
10/08/2018,6529.79,6575.88,6026.39,6144.01,7726.072005,7726.072005,,
11/08/2018,6148.13,6488,5971,6232.35,7711.209099232496,7711.209099232496,,
12/08/2018,6222.55,6472.3,6130,6308.33,7697.250103220232,7697.250103220232,,
13/08/2018,6308.56,6545,6145.04,6246.35,7682.813286272767,7682.813286272767,,
14/08/2018,6248.25,6250.33,5880,6188.08,7667.940318250153,7667.940318250153,,
15/08/2018,6188.08,6609,6172.11,6267.16,7654.002205630748,7654.002205630748,,
16/08/2018,6265.27,6480,6205.6,6311.75,7640.646462291139,7640.646462291139,,
17/08/2018,6316,6585,6285.4,6584.49,7630.137442765854,7630.137442765854,,
18/08/2018,6579.04,6620,6288,6387.96,7617.777468210969,7617.777468210969,,
19/08/2018,6387.96,6541,6300,6477.53,7606.431722258621,7606.431722258621,,
20/08/2018,6477.53,6530,6220,6254.84,7592.983048405302,7592.983048405302,,
21/08/2018,6251,6500,6235.08,6480,7581.908590212214,7581.908590212214,,
22/08/2018,6479.98,6882.54,6251.2,6360.89,7569.759151503635,7569.759151503635,,
23/08/2018,6362.57,6576.99,6342.28,6525.01,7559.363637558325,7559.363637558325,,
24/08/2018,6525,6725,6440.5,6681.64,7550.630069025406,7550.630069025406,,
25/08/2018,6686.98,6789,6650.61,6733.64,7542.500814607242,7542.500814607242,,
26/08/2018,6733.64,6775.27,6568,6700,7534.117721924583,7534.117721924583,,
27/08/2018,6700,6940.51,6646.5,6908.64,7527.894063,7527.894063,,
28/08/2018,6907.26,7135,6860,7076.11,7523.398699189015,7523.398699189015,,
29/08/2018,7077,7133.81,6912.34,7031.22,7518.501398699572,7518.501398699572,,
30/08/2018,7033.21,7063.63,6784.81,6984.84,7513.191335,7513.191335,,
31/08/2018,6984.84,7089,6888,7011.21,7508.196495876383,7508.196495876383,,
01/09/2018,7011.21,7275,7008.74,7200.01,7505.129963579106,7505.129963579106,,
02/09/2018,7201.57,7345.45,7127,7302.01,7503.108869414139,7503.108869414139,,
03/09/2018,7302,7338.28,7191.63,7263.02,7500.719925439869,7500.719925439869,,
04/09/2018,7263,7410,7227.17,7359.06,7499.310373942955,7499.310373942955,,
05/09/2018,7359.05,7397.3,6682,6700,7491.357036888797,7491.357036888797,,
06/09/2018,6697.27,6725,6265,6516.01,7481.652091248112,7481.652091248112,,
07/09/2018,6516.84,6544,6320,6395.54,7470.845005763056,7470.845005763056,,
08/09/2018,6395.54,6478,6111,6185.05,7458.051026,7458.051026,,
09/09/2018,6185.06,6441,6141.53,6250.81,7446.038677092715,7446.038677092715,,
10/09/2018,6252.26,6373.98,6221,6312,7434.75471,7434.75471,,
11/09/2018,6311.99,6404,6169.68,6294.91,7423.412971746952,7423.412971746952,,
12/09/2018,6293,6360,6192.37,6338.62,7412.619011829072,7412.619011829072,,
13/09/2018,6338.62,6535,6337.4,6487.38,7403.412653502415,7403.412653502415,,
14/09/2018,6487.39,6584.99,6385.62,6476.63,7394.190935557118,7394.190935557118,,
