time,open,high,low,close,EMA,Smoothing Line,,
2023-09-15T13:00:00+03:00,26613.78,26657.84,26597.12,26639.64,NaN,NaN,,
2023-09-15T14:00:00+03:00,26639.64,26639.65,26375.01,26425.16,NaN,NaN,,
2023-09-15T15:00:00+03:00,26425.17,26470.73,26334.13,26364.66,NaN,NaN,,
2023-09-15T16:00:00+03:00,26364.67,26526.99,26362.42,26364.97,NaN,NaN,,
2023-09-15T17:00:00+03:00,26364.97,26416.89,26224,26238.14,NaN,NaN,,
2023-09-15T18:00:00+03:00,26238.13,26329.6,26225.54,26321.21,NaN,NaN,,
2023-09-15T19:00:00+03:00,26321.2,26388.36,26315.02,26379.97,NaN,NaN,,
2023-09-15T20:00:00+03:00,26379.97,26379.97,26317.01,26338.5,NaN,NaN,,
2023-09-15T21:00:00+03:00,26338.51,26405.44,26331.97,26347.38,NaN,NaN,,
2023-09-15T22:00:00+03:00,26347.39,26444.45,26340.68,26397.38,NaN,NaN,,
2023-09-15T23:00:00+03:00,26397.38,26444.1,26373.21,26415.78,NaN,NaN,,
2023-09-16T00:00:00+03:00,26415.78,26506.26,26415.77,26469.14,NaN,NaN,,
2023-09-16T01:00:00+03:00,26469.14,26847.72,26469.13,26776.31,NaN,NaN,,
2023-09-16T02:00:00+03:00,26776.32,26888,26591.73,26600,26996.21824748406,26996.21824748406,,
2023-09-16T03:00:00+03:00,26599.99,26672.41,26571.42,26630.17,NaN,NaN,,
2023-09-16T04:00:00+03:00,26630.17,26694.18,26594.2,26653.31,NaN,NaN,,
2023-09-16T05:00:00+03:00,26653.3,26777,26653.3,26675.01,NaN,NaN,,
2023-09-16T06:00:00+03:00,26675.01,26700,26604.75,26616.43,NaN,NaN,,
2023-09-16T07:00:00+03:00,26616.44,26621.36,26539.89,26555.28,NaN,NaN,,
2023-09-16T08:00:00+03:00,26555.28,26583.29,26515,26537.76,NaN,NaN,,
2023-09-16T09:00:00+03:00,26537.76,26537.77,26467.45,26487.38,NaN,NaN,,
2023-09-16T10:00:00+03:00,26487.39,26509.99,26480,26494.5,NaN,NaN,,
2023-09-16T11:00:00+03:00,26494.5,26536.35,26470.91,26508.08,NaN,NaN,,
2023-09-16T12:00:00+03:00,26508.07,26581.98,26499.73,26501.44,NaN,NaN,,
2023-09-16T13:00:00+03:00,26501.44,26545.19,26445,26545.18,NaN,NaN,,
2023-09-16T14:00:00+03:00,26545.18,26550,26485.15,26524.09,NaN,NaN,,
2023-09-16T15:00:00+03:00,26524.08,26576.38,26500.32,26550.68,NaN,NaN,,
2023-09-16T16:00:00+03:00,26550.69,26570.65,26516.83,26550.65,NaN,NaN,,
2023-09-16T17:00:00+03:00,26550.66,26560.16,26490.31,26500.61,NaN,NaN,,
2023-09-16T18:00:00+03:00,26500.61,26537.69,26481.87,26507.12,NaN,NaN,,
2023-09-16T19:00:00+03:00,26507.12,26530.24,26496.14,26527.19,NaN,NaN,,
2023-09-16T20:00:00+03:00,26527.18,26622.22,26512.74,26566.98,NaN,NaN,,
2023-09-16T21:00:00+03:00,26566.98,26622.15,26554.99,26581.25,NaN,NaN,,
2023-09-16T22:00:00+03:00,26581.26,26582.91,26505.4,26532.8,NaN,NaN,,
2023-09-16T23:00:00+03:00,26532.79,26562.63,26526.18,26527.41,NaN,NaN,,
2023-09-17T00:00:00+03:00,26527.41,26579.99,26526.15,26570.01,NaN,NaN,,
2023-09-17T01:00:00+03:00,26570.01,26573.89,26560,26560.01,NaN,NaN,,
2023-09-17T02:00:00+03:00,26560,26571.87,26507,26559.67,26991.87448,26991.87448,,
2023-09-17T03:00:00+03:00,26559.67,26559.68,26434.05,26468.67,NaN,NaN,,
2023-09-17T04:00:00+03:00,26468.67,26515.17,26416.16,26496.35,NaN,NaN,,
2023-09-17T05:00:00+03:00,26496.34,26530.07,26490.89,26502.51,NaN,NaN,,
2023-09-17T06:00:00+03:00,26502.5,26535.24,26499.76,26529.25,NaN,NaN,,
2023-09-17T07:00:00+03:00,26529.25,26570,26508.96,26552.85,NaN,NaN,,
2023-09-17T08:00:00+03:00,26552.85,26560,26520,26543.79,NaN,NaN,,
2023-09-17T09:00:00+03:00,26543.79,26545.98,26524.37,26545.41,NaN,NaN,,
2023-09-17T10:00:00+03:00,26545.42,26547.37,26490.88,26495.93,NaN,NaN,,
2023-09-17T11:00:00+03:00,26495.94,26553.99,26493.13,26551.14,NaN,NaN,,
